F:15999493 | Err:507 | Cmd:-4917
F:15999486 | Err:514 | Cmd:-4798
F:15999487 | Err:513 | Cmd:-4680
F:15999486 | Err:514 | Cmd:-4562
F:15999487 | Err:513 | Cmd:-4444
F:15999487 | Err:513 | Cmd:-4326
F:15999486 | Err:514 | Cmd:-4208
F:15999485 | Err:515 | Cmd:-4089
F:15999484 | Err:516 | Cmd:-3970
F:15999487 | Err:513 | Cmd:-3853
F:15999486 | Err:514 | Cmd:-3734
F:15999487 | Err:513 | Cmd:-3616
F:15999487 | Err:513 | Cmd:-3498
F:15999487 | Err:513 | Cmd:-3380
F:15999486 | Err:514 | Cmd:-3262
F:15999487 | Err:513 | Cmd:-3144
F:15999485 | Err:515 | Cmd:-3025
F:15999487 | Err:513 | Cmd:-2908
F:15999486 | Err:514 | Cmd:-2789
F:15999487 | Err:513 | Cmd:-2671
F:15999487 | Err:513 | Cmd:-2553
F:15999487 | Err:513 | Cmd:-2435
F:15999482 | Err:518 | Cmd:-2316
F:15999453 | Err:547 | Cmd:-2186
F:15999437 | Err:563 | Cmd:-2055
F:15999434 | Err:566 | Cmd:-1924
F:15999441 | Err:559 | Cmd:-1797
F:15999443 | Err:557 | Cmd:-1669
F:15999445 | Err:555 | Cmd:-1541
F:15999445 | Err:555 | Cmd:-1414
F:15999448 | Err:552 | Cmd:-1287
F:15999447 | Err:553 | Cmd:-1160
F:15999451 | Err:549 | Cmd:-1034
F:15999451 | Err:549 | Cmd:-908
F:15999453 | Err:547 | Cmd:-782
F:15999454 | Err:546 | Cmd:-657
F:15999455 | Err:545 | Cmd:-532
F:15999457 | Err:543 | Cmd:-407
F:15999636 | Err:364 | Cmd:-345
F:15999710 | Err:290 | Cmd:-287
F:15999770 | Err:230 | Cmd:-241
F:15999808 | Err:192 | Cmd:-202
F:15999839 | Err:161 | Cmd:-168
F:15999867 | Err:133 | Cmd:-141
F:15999885 | Err:115 | Cmd:-117
F:15999903 | Err:97 | Cmd:-97
F:15999915 | Err:85 | Cmd:-79
F:15999927 | Err:73 | Cmd:-63
F:15999939 | Err:61 | Cmd:-51
F:15999945 | Err:55 | Cmd:-39
F:15999952 | Err:48 | Cmd:-28
F:15999960 | Err:40 | Cmd:-20
F:15999965 | Err:35 | Cmd:-13
F:15999969 | Err:31 | Cmd:-6
F:15999974 | Err:26 | Cmd:-1
F:15999976 | Err:24 | Cmd:4
F:15999980 | Err:20 | Cmd:8
F:15999983 | Err:17 | Cmd:11
F:15999984 | Err:16 | Cmd:15
F:15999986 | Err:14 | Cmd:18
F:15999987 | Err:13 | Cmd:21
F:15999989 | Err:11 | Cmd:23
F:15999993 | Err:7 | Cmd:24
F:15999993 | Err:7 | Cmd:26
F:15999995 | Err:5 | Cmd:27
F:15999995 | Err:5 | Cmd:28
F:15999995 | Err:5 | Cmd:29
F:15999996 | Err:4 | Cmd:30
F:15999997 | Err:3 | Cmd:30
F:15999997 | Err:3 | Cmd:31
F:15999999 | Err:1 | Cmd:31
F:15999998 | Err:2 | Cmd:32
F:15999998 | Err:2 | Cmd:32
